[08/29 18:49:31] psnet5 INFO: Full config saved to log/psnet5/respointnet2_dp_fi_df_fc1_max_20260829184931/config.json
[08/29 18:49:33] psnet5 INFO: length of training dataset: 2000
[08/29 18:49:33] psnet5 INFO: length of validation dataset: 2000
[08/29 19:01:18] psnet5 INFO: Train: [1/3][700/1000]	T 0.973 (1.004)	DT 0.000 (0.000)	loss 0.571 (1.222)
[08/29 19:01:27] psnet5 INFO: Train: [1/3][710/1000]	T 0.972 (1.003)	DT 0.000 (0.000)	loss 1.194 (1.220)
[08/29 19:01:37] psnet5 INFO: Train: [1/3][720/1000]	T 0.858 (1.003)	DT 0.000 (0.000)	loss 0.800 (1.216)
[08/29 19:01:46] psnet5 INFO: Train: [1/3][730/1000]	T 0.915 (1.002)	DT 0.000 (0.000)	loss 1.230 (1.221)
[08/29 19:01:56] psnet5 INFO: Train: [1/3][740/1000]	T 1.123 (1.002)	DT 0.000 (0.000)	loss 1.210 (1.219)
[08/29 19:02:05] psnet5 INFO: Train: [1/3][750/1000]	T 1.008 (1.001)	DT 0.000 (0.000)	loss 0.720 (1.216)
[08/29 19:02:15] psnet5 INFO: Train: [1/3][760/1000]	T 0.966 (1.001)	DT 0.000 (0.000)	loss 1.003 (1.212)
[08/29 19:02:25] psnet5 INFO: Train: [1/3][770/1000]	T 0.931 (1.001)	DT 0.000 (0.000)	loss 0.402 (1.208)
[08/29 19:02:35] psnet5 INFO: Train: [1/3][780/1000]	T 0.920 (1.001)	DT 0.000 (0.000)	loss 1.285 (1.205)
[08/29 19:02:45] psnet5 INFO: Train: [1/3][790/1000]	T 1.024 (1.001)	DT 0.000 (0.000)	loss 0.942 (1.204)
[08/29 19:02:55] psnet5 INFO: Train: [1/3][800/1000]	T 0.878 (1.001)	DT 0.000 (0.000)	loss 1.173 (1.198)
[08/29 19:03:05] psnet5 INFO: Train: [1/3][810/1000]	T 0.968 (1.001)	DT 0.000 (0.000)	loss 0.329 (1.193)
[08/29 19:03:15] psnet5 INFO: Train: [1/3][820/1000]	T 1.061 (1.001)	DT 0.000 (0.000)	loss 1.058 (1.191)
[08/29 19:03:24] psnet5 INFO: Train: [1/3][830/1000]	T 0.980 (1.000)	DT 0.000 (0.000)	loss 1.099 (1.196)
[08/29 19:03:34] psnet5 INFO: Train: [1/3][840/1000]	T 0.998 (1.000)	DT 0.000 (0.000)	loss 1.403 (1.195)
[08/29 19:03:44] psnet5 INFO: Train: [1/3][850/1000]	T 1.043 (1.000)	DT 0.000 (0.000)	loss 1.449 (1.192)
[08/29 19:03:55] psnet5 INFO: Train: [1/3][860/1000]	T 1.156 (1.000)	DT 0.000 (0.000)	loss 1.401 (1.190)
[08/29 19:04:05] psnet5 INFO: Train: [1/3][870/1000]	T 1.058 (1.001)	DT 0.000 (0.000)	loss 0.800 (1.190)
[08/29 19:04:16] psnet5 INFO: Train: [1/3][880/1000]	T 0.974 (1.001)	DT 0.000 (0.000)	loss 0.699 (1.188)
[08/29 19:04:25] psnet5 INFO: Train: [1/3][890/1000]	T 0.969 (1.001)	DT 0.000 (0.000)	loss 0.873 (1.186)
[08/29 19:04:35] psnet5 INFO: Train: [1/3][900/1000]	T 1.079 (1.001)	DT 0.000 (0.000)	loss 1.087 (1.187)
